content,link,tag,time,title
,https://nasional.kompas.com/read/2020/12/10/22494681/stafsus-presiden-ayu-kartika-dewi-positif-covid-19,staf khusus milenial,"Kompas.com - 10/12/2020, 22:49 WIB","Stafsus Presiden, Ayu Kartika Dewi Positif Covid-19"
,https://www.kompas.com/global/read/2020/12/10/190642670/pemberian-dosis-kedua-vaksin-covid-19-harus-tepat-waktu-kenapa,vaksin corona,"Kompas.com - 10/12/2020, 19:06 WIB","Pemberian Dosis Kedua Vaksin Covid-19 Harus Tepat Waktu, Kenapa?"
,https://www.kompas.com/global/read/2020/12/10/190642670/pemberian-dosis-kedua-vaksin-covid-19-harus-tepat-waktu-kenapa,vaksin corona,"Kompas.com - 10/12/2020, 19:06 WIB","Pemberian Dosis Kedua Vaksin Covid-19 Harus Tepat Waktu, Kenapa?"
,https://regional.kompas.com/read/2020/12/10/18120081/update-covid-19-di-sulteng-sultra-maluku-malut-papua-dan-papua-barat-10,papua,"Kompas.com - 10/12/2020, 18:12 WIB","UPDATE Covid-19 di Sulteng, Sultra, Maluku, Malut, Papua, dan Papua Barat 10 Desember 2020"
,https://www.kompas.com/sains/read/2020/12/10/184500823/mengenal-delirium-gejala-baru-yang-dialami-pasien-covid-19,pasien Covid-19,"Kompas.com - 10/12/2020, 18:45 WIB","Mengenal Delirium, Gejala Baru yang Dialami Pasien Covid-19"
,https://nasional.kompas.com/read/2020/12/10/18280471/satgas-covid-19-tingkat-kepatuhan-prokes-penyelenggara-pilkada-di-bawah-50,Pilkada 2020,"Kompas.com - 10/12/2020, 18:28 WIB",Satgas Covid-19: Tingkat Kepatuhan Prokes Penyelenggara Pilkada di Bawah 50 Persen
,https://nasional.kompas.com/read/2020/12/10/17464471/update-sebaran-6033-kasus-baru-covid-19-tertinggi-di-jakarta-dengan-1180,Covid-19,"Kompas.com - 10/12/2020, 17:46 WIB","UPDATE: Sebaran 6.033 Kasus Baru Covid-19, Tertinggi di Jakarta dengan 1.180"
,https://megapolitan.kompas.com/read/2020/12/10/18262711/kpad-ungkap-penyebab-anak-anak-kerap-jadi-bahan-eksploitasi-selama,kekerasan anak,"Kompas.com - 10/12/2020, 18:26 WIB",KPAD Ungkap Penyebab Anak-anak Kerap Jadi Bahan Eksploitasi Selama Pandemi
,https://megapolitan.kompas.com/read/2020/12/10/18143701/update-10-desember-tambah-1180-kasus-covid-19-di-jakarta-11772-orang,DKI Jakarta,"Kompas.com - 10/12/2020, 18:14 WIB","UPDATE 10 Desember: Tambah 1.180 Kasus Covid-19 di Jakarta, 11.772 Orang Masih Dirawat"
,https://nasional.kompas.com/read/2020/12/10/18501661/satgas-lonjakan-kasus-aktif-covid-19-karena-perawatan-belum-maksimal,Covid-19,"Kompas.com - 10/12/2020, 18:50 WIB",Satgas: Lonjakan Kasus Aktif Covid-19 karena Perawatan Belum Maksimal
